L2_continuous,PosXRight,R2_continuous,alpha_VSP1,u_BT,u_VSP1,PosYRight,Absolute Time,alpha_VSP2,u_VSP2
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.683324,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.693325,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.703326,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.713324,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.723325,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.733324,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.743327,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.753325,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.763328,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.773326,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.783327,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.793327,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.803327,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.813327,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.823329,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.833328,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.843327,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.853327,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.863328,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.873330,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.883331,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.893329,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.903329,1.570796,0.393631
